method,k,silhouette,calinski_harabasz,davies_bouldin,inertia
kmeans,5,0.20499418028046182,275.7126547291428,1.5918880044313233,4432.483339219733
kmeans,6,0.21056302286612721,247.0575567411584,1.4906475358857059,4169.953396343664
kmeans,7,0.16835585694873723,230.06433213481756,1.5706586412517685,3915.5707330501596
kmeans,8,0.16770858105986605,218.46500386998062,1.5358120054858198,3684.5582630906233
kmeans,9,0.17527032056918926,207.37215630380285,1.4566675871445458,3503.805499090462
kmeans,10,0.1700133317842398,195.68797981446548,1.4679077589303287,3372.7406507637634
